trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5477292602242685}",20,0,-79.80431342402946,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",20,9,-69.4130490944392,"{0: 6, 1: 0, 2: 2, 3: 3, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,0,-190.35544170423213,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",20,0,-130.7479013115525,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",20,0,-14.503709145174529,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",30,0,-4.846131774184459,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.4241790073369969}",20,0,18.381416042278232,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",20,0,-7.624500586642439,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,0,-66.51651110033636,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,-47.46968215602001,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",25,11,-21.97524472098926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.202135120387182}",25,0,-25.909666018853773,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",25,12,-1.0198432833517055,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",30,0,-99.2347193137902,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",20,0,-128.13992872664275,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
